trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-100.17910385080806,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-92.19209204508785,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-120.79031171632154,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-104.3612884287717,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,15,-4.666871659335801,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-155.86586249282462,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-124.58034610062506,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,5.210574295970165,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-147.18955688620272,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-100.808048605752,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,14,-63.48796252085368,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,7,-62.71916979020202,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-0.6006718817999139,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,26.1223564628929,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-65.88098317785911,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,0.4444697270087681,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-84.49552142969631,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-16.97157311660603,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,8,28.17549251878468,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-43.77960631880538,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,8,-0.2265289612312653,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,17,20.374011578453242,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,1,-47.697507389319306,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,7,-7.114311892868328,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,23.355149555171863,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,21,22.30243691335453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,17,22.256767417588307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,-36.81518688006287,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,7,5.671635932532558,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,1,-84.86366591379632,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 2}",1
