trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-54.83826607967878,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.002, 'e': 0.9999980000006666}",20,0,-65.82862432861948,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9999920000106667}",25,12,-20.811788833057662,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
4,False,"{'a': 0.002, 'e': 0.999982000054}",25,0,-131.3292196623244,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9999680001706663}",20,4,-75.22482295066095,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.002, 'e': 0.9999500004166653}",20,0,-138.95082662340684,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9999280008639958}",20,0,-69.60358376240056,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9999020016006562}",20,0,-36.71887401063892,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9998720027306434}",30,0,-196.68930224050263,"{0: 14, 1: 8, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9998380043739528}",25,0,-173.70349734340135,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.9998000066665778}",25,0,-53.40476691973447,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.9997580097605092}",30,0,-172.54604569966304,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.002, 'e': 0.9997120138237345}",20,0,-45.52396916035661,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9996620190402377}",35,0,-138.86524474880255,"{0: 20, 1: 5, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9996080256099974}",30,0,-118.23179191549222,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9995500337489875}",25,0,-103.85460263923056,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
