trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-100.97454115043143,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,0,-156.74647250357103,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",25,0,-74.089849672366,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",20,0,-195.72980926454153,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,0,-85.06888923900922,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.531441}",30,0,-233.00014692952823,"{0: 16, 1: 0, 2: 9, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.4782969}",25,0,-129.8858113415562,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.43046721}",30,3,-134.1779749832102,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.387420489}",30,0,-148.45431451146132,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.3486784401}",25,0,-147.74875623334518,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.31381059609}",25,0,-157.90669398301137,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.282429536481}",20,0,-157.4201145375592,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.2541865828329}",25,15,5.808783450202074,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961}",25,0,-213.97306773516277,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.20589113209464902}",20,0,-135.93026437994024,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.1853020188851841}",30,0,-70.4563887169794,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666568}",25,0,-30.159266107217068,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.15009463529699912}",25,0,-244.6083303651172,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.1350851717672992}",25,0,-117.63004677615724,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056928}",20,0,-54.58767644743675,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-71.6403593161393,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",35,0,-116.77083771056442,"{0: 20, 1: 4, 2: 10, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-147.8680720995559,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-73.67666151207852,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-129.79435478572674,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-87.5885496423001,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-128.42320021360905,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-166.067707949977,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-48.6447955352163,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-119.22153325695538,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
